Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
128.89	24.716065637231804	33.5625	25.0	24.875	25.158451080322266
132.72	24.705804349482058	34.0625	25.0	24.875	25.158451080322266
136.56	24.726326926145703	34.5	25.0	24.875	25.158451080322266
140.4	24.716065637231804	35.0	25.0	24.875	25.158451080322266
144.27	24.700673706043744	35.4375	25.0	24.875	25.158451080322266
148.17	24.716065637231804	35.9375	25.0	24.875	25.158451080322266
152.03	24.736588216223755	36.3125	25.0	24.875	25.158451080322266
155.95	24.74684950746596	36.75	25.0	24.875	25.173507690429688
159.88	24.726326926145703	37.1875	25.0	24.9375	25.173507690429688
163.86	24.726326926145703	37.5625	25.0	24.875	25.173507690429688
167.73	24.716065637231804	37.875	25.0	24.9375	25.173507690429688
171.63	24.726326926145703	38.1875	25.0	24.9375	25.173507690429688
175.57	24.736588216223755	38.375	25.0	24.9375	25.173507690429688
179.47	24.726326926145703	38.625	25.0	24.9375	25.173507690429688
183.32	24.716065637231804	38.75	25.0	24.9375	25.173507690429688
187.25	24.710934993211414	38.75	25.0	24.9375	25.173507690429688
191.08	24.705804349482058	38.75	25.0	24.9375	25.173507690429688
194.93	24.69554306289647	38.75	25.0	24.9375	25.173507690429688
198.74	24.69554306289647	38.625	25.0	24.9375	25.173507690429688
202.53	24.69554306289647	38.5625	25.0	24.9375	25.173507690429688
206.38	24.69041242004023	38.4375	25.0	24.9375	25.173507690429688
210.23	24.66475921012461	38.3125	25.0	24.9375	25.173507690429688
214.11	24.66475921012461	38.125	25.0	24.9375	25.173507690429688
217.98	24.69041242004023	37.9375	25.0	24.9375	25.173507690429688
221.82	24.675020493217744	37.75	25.0	24.9375	25.173507690429688
225.68	24.66475921012461	37.5	25.0	24.9375	25.173507690429688
229.5	24.65449792819563	37.25	25.0	24.9375	25.173507690429688
233.4	24.66475921012461	37.0	25.0	24.875	25.173507690429688
237.27	24.66988985152566	36.75	25.0	24.9375	25.173507690429688
241.1	24.69554306289647	36.5	25.0	24.9375	25.173507690429688
244.93	24.680151135200866	36.3125	25.0625	24.9375	25.173507690429688
248.79	24.65449792819563	36.0	25.0	24.9375	25.173507690429688
252.64	24.66475921012461	35.625	25.0	24.9375	25.173507690429688
256.47	24.66475921012461	35.375	25.0	24.9375	25.173507690429688
260.29	24.65449792819563	35.125	25.0	24.9375	25.173507690429688
264.14	24.64423664743081	34.8125	25.0	24.9375	25.173507690429688
268.06	24.64423664743081	34.5	25.0	24.9375	25.173507690429688
271.9	24.66475921012461	34.25	25.0	24.9375	25.173507690429688
275.73	24.66475921012461	34.0	25.0	24.9375	25.173507690429688
279.61	24.680151135200866	33.75	25.0625	24.9375	25.173507690429688
283.42	24.69041242004023	33.5	25.0625	24.9375	25.173507690429688
287.26	24.69041242004023	33.3125	25.0625	24.9375	25.173507690429688
291.1	24.68528177747503	33.125	25.0625	24.9375	25.173507690429688
294.93	24.69554306289647	32.9375	25.0625	24.9375	25.173507690429688
298.77	24.68528177747503	32.75	25.0625	24.9375	25.173507690429688
302.6	24.680151135200866	32.5	25.0625	24.9375	25.173507690429688
306.44	24.69041242004023	32.375	25.0625	24.9375	25.173507690429688
