Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
208.31	24.78276403598138	54.3125	25.25	25.1875	25.249435424804688
212.14	24.78789468407631	54.125	25.25	25.1875	25.249435424804688
215.97	24.78276403598138	53.9375	25.25	25.1875	25.249435424804688
219.81	24.77763338817749	53.625	25.25	25.1875	25.249435424804688
223.66	24.78789468407631	53.25	25.25	25.1875	25.249435424804688
227.49	24.78276403598138	52.9375	25.25	25.1875	25.249435424804688
231.35	24.78789468407631	52.5	25.25	25.1875	25.249435424804688
235.19	24.772502740664642	52.125	25.25	25.1875	25.249435424804688
239.01	24.78789468407631	51.6875	25.25	25.1875	25.249435424804688
242.93	24.767372093442827	51.25	25.25	25.1875	25.249435424804688
246.83	24.813547928916524	50.8125	25.25	25.1875	25.249435424804688
250.62	24.81867857875768	50.375	25.25	25.1875	25.249435424804688
254.45	24.808417279366402	49.875	25.25	25.1875	25.249435424804688
258.3	24.78789468407631	49.375	25.25	25.1875	25.249435424804688
262.13	24.79815598113928	48.9375	25.25	25.1875	25.249435424804688
265.99	24.803286630107323	48.4375	25.3125	25.1875	25.249435424804688
269.81	24.78276403598138	48.0	25.25	25.1875	25.249435424804688
273.65	24.77763338817749	47.5	25.25	25.1875	25.249435424804688
277.53	24.767372093442827	47.0625	25.3125	25.1875	25.249435424804688
281.3	24.77763338817749	46.5625	25.3125	25.1875	25.249435424804688
285.1	24.762241446512053	46.125	25.3125	25.1875	25.249435424804688
288.94	24.75198015352362	45.6875	25.25	25.1875	25.249435424804688
292.79	24.77763338817749	45.25	25.25	25.1875	25.249435424804688
296.64	24.767372093442827	44.8125	25.3125	25.1875	25.249435424804688
300.48	24.767372093442827	44.4375	25.3125	25.1875	25.249435424804688
304.38	24.767372093442827	44.0	25.3125	25.1875	25.260801315307617
308.22	24.767372093442827	43.5625	25.3125	25.1875	25.260801315307617
312.04	24.74684950746596	43.1875	25.3125	25.1875	25.260801315307617
315.9	24.74684950746596	42.8125	25.3125	25.1875	25.260801315307617
319.74	24.767372093442827	42.4375	25.3125	25.1875	25.260801315307617
323.57	24.75198015352362	42.0625	25.3125	25.1875	25.260801315307617
327.42	24.757110799872315	41.6875	25.3125	25.1875	25.260801315307617
331.27	24.75198015352362	41.375	25.3125	25.1875	25.260801315307617
335.09	24.757110799872315	41.0	25.3125	25.1875	25.260801315307617
338.94	24.757110799872315	40.6875	25.3125	25.1875	25.260801315307617
342.77	24.757110799872315	40.375	25.3125	25.1875	25.260801315307617
346.63	24.772502740664642	40.0625	25.3125	25.1875	25.260801315307617
350.46	24.757110799872315	39.75	25.25	25.1875	25.260801315307617
354.31	24.75198015352362	39.4375	25.25	25.1875	25.260801315307617
358.15	24.74684950746596	39.1875	25.25	25.1875	25.260801315307617
361.99	24.74684950746596	38.9375	25.3125	25.1875	25.260801315307617
365.81	24.75198015352362	38.6875	25.25	25.1875	25.260801315307617
369.66	24.726326926145703	38.3125	25.25	25.1875	25.260801315307617
373.55	24.736588216223755	38.0625	25.25	25.1875	25.260801315307617
377.32	24.741718861699336	37.75	25.25	25.1875	25.260801315307617
381.1	24.736588216223755	37.5	25.25	25.1875	25.260801315307617
384.94	24.757110799872315	37.1875	25.25	25.1875	25.260801315307617
388.78	24.74684950746596	36.9375	25.25	25.1875	25.260801315307617
392.6	24.767372093442827	36.6875	25.25	25.1875	25.260801315307617
396.45	24.767372093442827	36.5	25.25	25.1875	25.260801315307617
400.29	24.767372093442827	36.25	25.25	25.1875	25.260801315307617
404.14	24.77763338817749	36.0625	25.25	25.1875	25.260801315307617
407.98	24.77763338817749	35.8125	25.25	25.125	25.260801315307617
411.81	24.767372093442827	35.75	25.25	25.1875	25.260801315307617
415.69	24.772502740664642	35.5	25.25	25.1875	25.260801315307617
419.5	24.767372093442827	35.25	25.25	25.125	25.260801315307617
423.35	24.757110799872315	35.1875	25.25	25.1875	25.272178649902344
427.18	24.74684950746596	34.875	25.25	25.1875	25.272178649902344
431.03	24.75198015352362	34.8125	25.25	25.1875	25.272178649902344
434.87	24.757110799872315	34.625	25.25	25.1875	25.272178649902344
438.7	24.74684950746596	34.4375	25.25	25.1875	25.272178649902344
442.54	24.736588216223755	34.3125	25.25	25.1875	25.272178649902344
446.42	24.726326926145703	34.1875	25.25	25.1875	25.272178649902344
450.22	24.726326926145703	34.0625	25.25	25.125	25.272178649902344
454.06	24.721196281543236	33.875	25.25	25.125	25.272178649902344
457.95	24.736588216223755	33.75	25.25	25.125	25.272178649902344
461.72	24.757110799872315	33.6875	25.1875	25.125	25.272178649902344
465.49	24.731457571039208	33.5625	25.1875	25.125	25.272178649902344
469.34	24.721196281543236	33.4375	25.25	25.125	25.272178649902344
473.19	24.741718861699336	33.25	25.1875	25.125	25.272178649902344
477.02	24.74684950746596	33.1875	25.25	25.125	25.272178649902344
480.85	24.741718861699336	33.0625	25.25	25.125	25.272178649902344
484.67	24.741718861699336	33.0	25.25	25.125	25.272178649902344
488.43	24.741718861699336	32.8125	25.1875	25.125	25.272178649902344
492.32	24.731457571039208	32.75	25.25	25.125	25.272178649902344
496.19	24.736588216223755	32.625	25.25	25.125	25.272178649902344
499.97	24.736588216223755	32.5625	25.25	25.125	25.272178649902344
503.81	24.74684950746596	32.5	25.25	25.125	25.272178649902344
507.65	24.726326926145703	32.375	25.25	25.125	25.272178649902344
511.49	24.736588216223755	32.25	25.25	25.125	25.272178649902344
515.33	24.736588216223755	32.25	25.25	25.125	25.272178649902344
519.17	24.741718861699336	32.125	25.25	25.125	25.272178649902344
523.02	24.757110799872315	32.0	25.25	25.125	25.272178649902344
526.86	24.767372093442827	31.9375	25.25	25.125	25.272178649902344
530.7	24.767372093442827	31.875	25.25	25.125	25.272178649902344
534.55	24.74684950746596	31.75	25.25	25.125	25.272178649902344
538.39	24.736588216223755	31.6875	25.25	25.125	25.272178649902344
542.22	24.741718861699336	31.625	25.1875	25.125	25.257118225097656
546.06	24.762241446512053	31.5	25.1875	25.125	25.257118225097656
549.89	24.762241446512053	31.4375	25.1875	25.125	25.257118225097656
553.76	24.762241446512053	31.375	25.25	25.0625	25.257118225097656
557.58	24.762241446512053	31.3125	25.1875	25.125	25.257118225097656
561.43	24.77763338817749	31.1875	25.25	25.125	25.257118225097656
565.27	24.77763338817749	31.125	25.25	25.125	25.257118225097656
569.11	24.77763338817749	31.0625	25.25	25.125	25.257118225097656
572.93	24.767372093442827	31.0	25.25	25.125	25.257118225097656
576.78	24.757110799872315	30.9375	25.25	25.125	25.257118225097656
580.62	24.767372093442827	30.9375	25.25	25.125	25.257118225097656
584.43	24.767372093442827	30.8125	25.25	25.125	25.257118225097656
588.23	24.772502740664642	30.75	25.25	25.125	25.257118225097656
592.06	24.762241446512053	30.6875	25.25	25.125	25.257118225097656
595.9	24.757110799872315	30.625	25.25	25.125	25.257118225097656
599.76	24.75198015352362	30.5625	25.25	25.125	25.257118225097656
603.59	24.75198015352362	30.5	25.25	25.125	25.257118225097656
607.41	24.757110799872315	30.4375	25.25	25.125	25.257118225097656
611.27	24.75198015352362	30.375	25.25	25.125	25.257118225097656
615.12	24.74684950746596	30.3125	25.25	25.125	25.257118225097656
618.93	24.75198015352362	30.25	25.25	25.125	25.257118225097656
622.81	24.757110799872315	30.25	25.25	25.125	25.257118225097656
626.62	24.767372093442827	30.1875	25.25	25.125	25.257118225097656
630.44	24.757110799872315	30.125	25.25	25.125	25.257118225097656
634.3	24.762241446512053	30.125	25.25	25.125	25.257118225097656
638.14	24.77763338817749	30.0	25.25	25.125	25.257118225097656
641.97	24.79815598113928	29.9375	25.25	25.125	25.257118225097656
645.8	24.803286630107323	29.9375	25.25	25.125	25.257118225097656
649.67	24.793025332462275	29.875	25.25	25.125	25.257118225097656
653.5	24.803286630107323	29.875	25.25	25.125	25.257118225097656
657.34	24.81867857875768	29.75	25.25	25.125	25.257118225097656
661.18	24.82893987931311	29.75	25.25	25.125	25.272178649902344
665.03	24.813547928916524	29.6875	25.25	25.125	25.272178649902344
668.86	24.803286630107323	29.625	25.25	25.125	25.272178649902344
672.71	24.79815598113928	29.625	25.25	25.125	25.272178649902344
676.56	24.808417279366402	29.5625	25.25	25.125	25.272178649902344
680.35	24.81867857875768	29.4375	25.25	25.125	25.272178649902344
684.14	24.813547928916524	29.4375	25.25	25.125	25.272178649902344
688.0	24.803286630107323	29.375	25.25	25.125	25.272178649902344
691.81	24.78789468407631	29.375	25.25	25.125	25.272178649902344
695.65	24.79815598113928	29.3125	25.25	25.125	25.272178649902344
699.51	24.79815598113928	29.25	25.25	25.125	25.272178649902344
703.33	24.803286630107323	29.25	25.25	25.125	25.272178649902344
707.17	24.82893987931311	29.1875	25.25	25.125	25.272178649902344
711.02	24.849462483916433	29.125	25.25	25.125	25.272178649902344
714.85	24.854593135794858	29.0625	25.1875	25.125	25.272178649902344
718.71	24.864854440424825	29.0625	25.25	25.125	25.272178649902344
722.55	24.875115746218945	29.0625	25.25	25.125	25.272178649902344
726.37	24.844331832329043	29.0	25.25	25.125	25.272178649902344
730.21	24.82380922888988	29.0	25.25	25.125	25.272178649902344
734.06	24.813547928916524	28.875	25.25	25.125	25.272178649902344
737.92	24.808417279366402	28.875	25.25	25.125	25.272178649902344
741.73	24.808417279366402	28.875	25.25	25.125	25.272178649902344
745.59	24.793025332462275	28.8125	25.25	25.125	25.272178649902344
749.41	24.79815598113928	28.8125	25.25	25.125	25.272178649902344
753.29	24.808417279366402	28.75	25.25	25.125	25.272178649902344
757.09	24.813547928916524	28.6875	25.25	25.125	25.272178649902344
760.94	24.79815598113928	28.6875	25.25	25.125	25.272178649902344
764.81	24.767372093442827	28.625	25.25	25.125	25.272178649902344
768.63	24.74684950746596	28.625	25.25	25.125	25.272178649902344
772.45	24.736588216223755	28.625	25.25	25.125	25.272178649902344
776.27	24.736588216223755	28.625	25.25	25.125	25.272178649902344
780.07	24.726326926145703	28.5625	25.1875	25.125	25.272178649902344
783.91	24.736588216223755	28.5	25.1875	25.125	25.272178649902344
787.74	24.75198015352362	28.5	25.1875	25.125	25.272178649902344
791.57	24.762241446512053	28.5	25.1875	25.125	25.272178649902344
795.45	24.75198015352362	28.4375	25.1875	25.125	25.272178649902344
799.27	24.757110799872315	28.375	25.1875	25.125	25.272178649902344
803.09	24.762241446512053	28.375	25.1875	25.125	25.272178649902344
806.95	24.772502740664642	28.3125	25.1875	25.125	25.272178649902344
810.77	24.77763338817749	28.3125	25.1875	25.125	25.272178649902344
814.61	24.77763338817749	28.3125	25.1875	25.125	25.272178649902344
818.46	24.762241446512053	28.25	25.1875	25.125	25.272178649902344
822.31	24.710934993211414	28.1875	25.1875	25.125	25.272178649902344
826.21	24.69554306289647	28.1875	25.1875	25.0625	25.272178649902344
830.12	24.68528177747503	28.125	25.1875	25.0625	25.272178649902344
