Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
473.85	24.618583450611915	27.75	24.875	24.75	24.99150848388672
477.72	24.603191536013036	28.25	24.875	24.75	24.99150848388672
481.61	24.587799624033504	28.8125	24.875	24.75	24.99150848388672
485.48	24.587799624033504	29.3125	24.875	24.75	24.99150848388672
489.37	24.603191536013036	29.8125	24.875	24.75	24.99150848388672
493.38	24.598060898395488	30.3125	24.875	24.75	24.99150848388672
497.3	24.577538350835674	30.8125	24.875	24.75	24.987829208374023
501.13	24.577538350835674	31.375	24.875	24.75	24.987829208374023
504.97	24.582668987289072	31.8125	24.875	24.75	24.987829208374023
508.83	24.567277078802	32.375	24.875	24.75	24.987829208374023
512.66	24.582668987289072	32.8125	24.875	24.6875	24.987829208374023
516.51	24.608322173921625	33.3125	24.875	24.75	24.987829208374023
520.34	24.603191536013036	33.75	24.875	24.75	24.987829208374023
524.21	24.572407714673318	34.25	24.875	24.75	24.987829208374023
528.02	24.572407714673318	34.6875	24.875	24.75	24.987829208374023
531.9	24.572407714673318	35.1875	24.875	24.75	24.987829208374023
535.79	24.572407714673318	35.5625	24.875	24.75	24.987829208374023
539.65	24.572407714673318	36.0	24.875	24.75	24.987829208374023
543.51	24.59293026106898	36.375	24.875	24.75	24.987829208374023
547.41	24.577538350835674	36.75	24.875	24.75	24.987829208374023
551.26	24.582668987289072	37.125	24.875	24.75	24.987829208374023
555.12	24.598060898395488	37.5625	24.875	24.75	24.999210357666016
559.02	24.582668987289072	37.875	24.875	24.8125	24.999210357666016
562.86	24.582668987289072	38.25	24.9375	24.75	24.999210357666016
566.78	24.598060898395488	38.5625	24.875	24.75	24.999210357666016
570.73	24.59293026106898	38.9375	24.875	24.75	24.999210357666016
574.64	24.582668987289072	39.25	24.875	24.8125	24.999210357666016
578.56	24.598060898395488	39.5	24.875	24.8125	24.999210357666016
582.47	24.582668987289072	39.8125	24.875	24.8125	24.999210357666016
586.5	24.608322173921625	40.125	24.875	24.8125	24.999210357666016
590.43	24.603191536013036	40.375	24.875	24.8125	24.999210357666016
594.34	24.598060898395488	40.6875	24.875	24.8125	24.999210357666016
598.19	24.598060898395488	40.9375	24.875	24.75	24.999210357666016
602.1	24.572407714673318	41.1875	24.875	24.75	24.999210357666016
606.01	24.572407714673318	41.4375	24.875	24.75	24.999210357666016
609.93	24.587799624033504	41.6875	24.875	24.75	24.999210357666016
613.85	24.59293026106898	41.9375	24.875	24.75	24.999210357666016
617.79	24.59293026106898	42.1875	24.875	24.75	25.010583877563477
621.68	24.582668987289072	42.4375	24.875	24.75	25.010583877563477
625.64	24.572407714673318	42.6875	24.8125	24.75	25.010583877563477
629.57	24.562146443221717	42.9375	24.8125	24.75	25.010583877563477
633.47	24.55188517293427	43.1875	24.8125	24.6875	25.010583877563477
637.38	24.562146443221717	43.375	24.8125	24.6875	25.010583877563477
641.3	24.572407714673318	43.625	24.8125	24.75	25.010583877563477
645.29	24.577538350835674	43.875	24.8125	24.6875	25.010583877563477
649.23	24.587799624033504	44.0625	24.8125	24.6875	25.010583877563477
653.11	24.582668987289072	44.3125	24.75	24.6875	25.010583877563477
656.97	24.572407714673318	44.5	24.8125	24.6875	25.010583877563477
660.83	24.572407714673318	44.6875	24.8125	24.6875	25.010583877563477
664.68	24.54162390381098	44.9375	24.8125	24.75	25.010583877563477
668.52	24.53136263585184	45.0625	24.8125	24.6875	25.010583877563477
672.38	24.526232002308824	45.3125	24.75	24.6875	25.010583877563477
676.26	24.54162390381098	45.4375	24.75	24.6875	25.00690269470215
