Time [s]	Voltage set [V]	Voltage measured [V]
39.22	19.0	18.5039
39.35	19.0	18.5039
39.48	19.0	18.5039
39.61	19.0	18.5039
39.74	19.0	19.0046
39.88	19.0	19.0046
40.07	19.5	19.0046
40.2	19.5	19.0046
40.33	19.5	19.5009
40.47	19.5	19.5009
40.59	19.5	19.5009
40.7	19.5	19.5009
40.83	19.5	19.5009
40.95	19.5	19.5016
41.14	20.0	19.5016
41.28	20.0	19.5016
41.43	20.0	20.0033
41.56	20.0	20.0033
41.69	20.0	20.0033
41.8	20.0	20.0033
41.94	20.0	20.0033
42.06	20.0	20.0038
42.25	20.5	20.0038
42.38	20.5	20.0038
42.52	20.5	20.0038
42.65	20.5	20.0038
42.78	20.5	20.5021
42.89	20.5	20.5021
43.03	20.5	20.5021
43.22	21.0	20.5021
43.36	21.0	20.5021
43.49	21.0	20.5024
43.62	21.0	20.5024
43.75	21.0	20.5024
43.89	21.0	21.0014
43.99	21.0	21.0014
44.12	21.0	21.0014
44.25	21.5	21.0014
44.39	21.5	21.0014
44.52	21.5	21.5003
44.65	21.5	21.5003
44.79	21.5	21.5003
44.9	21.5	21.5003
45.03	21.5	21.5003
45.16	21.5	21.5003
45.29	22.0	21.5014
45.42	22.0	21.5014
45.55	22.0	21.5014
45.65	22.0	21.5014
45.78	22.0	22.0025
45.88	22.0	22.0025
46.01	22.0	22.0025
46.15	22.0	22.0025
46.28	22.0	22.0025
46.39	22.5	22.0029
46.49	22.5	22.0029
46.62	22.5	22.0029
46.76	22.5	22.0029
46.89	22.5	22.5029
46.99	22.5	22.5029
47.12	22.5	22.5029
47.24	22.5	22.5029
47.42	23.0	22.5029
47.54	23.0	22.5033
47.66	23.0	22.5033
47.78	23.0	22.5033
47.92	23.0	22.5033
48.05	23.0	22.5033
48.18	23.0	23.0039
48.3	23.0	23.0039
48.51	23.5	23.0039
48.64	23.5	23.2463
48.78	23.5	23.2463
48.91	23.5	23.2463
49.03	23.5	23.2463
49.16	23.5	23.2463
49.29	23.5	23.5041
49.39	23.5	23.5041
49.55	24.0	23.5041
49.68	24.0	23.5041
49.81	24.0	24.0024
49.94	24.0	24.0024
50.08	24.0	24.0024
50.19	24.0	24.0024
50.33	24.0	24.0024
50.51	24.5	24.0033
50.65	24.5	24.0033
50.78	24.5	24.0033
50.91	24.5	24.0033
51.02	24.5	24.0033
51.17	24.5	24.5023
51.31	24.5	24.5023
51.44	24.5	24.5023
51.6	25.0	24.5023
51.73	25.0	24.5026
51.87	25.0	24.5026
52.0	25.0	24.5026
52.13	25.0	24.5026
52.27	25.0	25.0034
52.4	25.0	25.0034
52.57	25.5	25.0034
52.69	25.5	25.0034
52.82	25.5	25.501
52.95	25.5	25.501
53.08	25.5	25.501
53.21	25.5	25.501
53.35	25.5	25.501
53.48	25.5	25.5024
53.61	26.0	25.5024
53.74	26.0	25.5024
53.87	26.0	25.5024
54.0	26.0	25.5024
54.14	26.0	26.0029
54.25	26.0	26.0029
54.39	26.0	26.0029
54.52	26.0	26.0033
54.7	26.5	26.0033
54.83	26.5	26.0033
54.97	26.5	26.0033
55.1	26.5	26.0033
55.23	26.5	26.5029
55.34	26.5	26.5029
55.47	26.5	26.5029
55.67	27.0	26.5458
55.8	27.0	26.5458
55.93	27.0	26.5458
56.07	27.0	26.5458
56.21	27.0	26.5458
56.34	27.0	27.0016
56.45	27.0	27.0016
56.59	27.0	27.0016
56.72	27.5	27.0016
56.86	27.5	27.0016
56.99	27.5	27.0016
57.12	27.5	27.5
57.22	27.5	27.5
57.35	27.5	27.5
57.48	27.5	27.5014
57.58	27.5	27.5014
57.69	27.5	27.5014
57.81	28.0	27.5014
57.95	28.0	27.5014
58.09	28.0	27.5014
58.22	28.0	28.0008
58.36	28.0	28.0008
58.49	28.0	28.0008
58.6	28.0	28.0008
58.73	28.0	28.0013
58.87	28.5	28.0013
59.0	28.5	28.0013
59.13	28.5	28.0013
