Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]
773.56	18.7833543	18.399205122166315	18.5	18.25
776.65	18.7840366	18.404241013951832	18.5625	18.25
779.78	18.7835367	18.399205122166315	18.5	18.25
782.92	18.7842875	18.404241013951832	18.5625	18.25
786.09	18.7842337	18.424384584004294	18.5	18.25
789.18	18.7844533	18.43445637077675	18.5625	18.25
792.27	18.7846298	18.43445637077675	18.5	18.25
795.39	18.7844238	18.43445637077675	18.5	18.25
798.5	18.7854431	18.43445637077675	18.5	18.25
801.6	18.7856544	18.444528158713364	18.5625	18.25
804.69	18.7862251	18.43445637077675	18.5625	18.25
807.78	18.7859377	18.43949226459954	18.5625	18.25
810.91	18.7859182	18.43949226459954	18.5	18.25
814.0	18.7864252	18.43445637077675	18.5	18.25
817.15	18.7869977	18.444528158713364	18.5625	18.25
820.36	18.7870036	18.444528158713364	18.5625	18.25
823.45	18.7871812	18.45459994781413	18.5	18.25
826.57	18.7874191	18.444528158713364	18.5	18.25
829.7	18.7877372	18.45459994781413	18.5625	18.25
832.83	18.7879869	18.444528158713364	18.5625	18.25
835.94	18.7882442	18.43445637077675	18.5625	18.25
839.13	18.7883782	18.43445637077675	18.5625	18.25
842.27	18.7886839	18.429420477245003	18.5625	18.25
845.39	18.7891118	18.424384584004294	18.5625	18.25
848.5	18.7898749	18.424384584004294	18.5625	18.25
851.61	18.7904539	18.43445637077675	18.5625	18.25
854.73	18.7907042	18.424384584004294	18.5625	18.25
857.85	18.7909491	18.424384584004294	18.5625	18.25
860.98	18.7911191	18.43445637077675	18.5625	18.25
864.09	18.7914856	18.43445637077675	18.5625	18.25
867.2	18.7919725	18.424384584004294	18.5625	18.25
870.34	18.7928472	18.424384584004294	18.5625	18.25
873.44	18.7929151	18.414312798395986	18.5625	18.25
876.58	18.79297	18.404241013951832	18.5625	18.25
879.69	18.7937768	18.404241013951832	18.5625	18.25
882.83	18.7943469	18.39416923067183	18.5625	18.25
885.94	18.7939279	18.38913333946839	18.5625	18.25
889.04	18.7943735	18.38913333946839	18.5625	18.25
892.16	18.7944709	18.37906155793462	18.5625	18.25
895.31	18.7952582	18.37906155793462	18.5625	18.25
898.43	18.7954713	18.384097448555984	18.5625	18.25
901.5	18.7959971	18.38913333946839	18.5625	18.25
904.57	18.7966015	18.37906155793462	18.5625	18.25
907.71	18.7967774	18.384097448555984	18.5625	18.25
910.82	18.7969196	18.374025667604293	18.5625	18.25
913.94	18.7977259	18.368989777565	18.5625	18.25
917.05	18.7967927	18.368989777565	18.5625	18.25
920.19	18.7982069	18.374025667604293	18.5625	18.25
923.29	18.7981939	18.374025667604293	18.5625	18.25
926.41	18.7987935	18.374025667604293	18.5625	18.25
929.54	18.7988667	18.368989777565	18.5625	18.25
932.75	18.7989334	18.368989777565	18.5625	18.25
935.87	18.8001363	18.374025667604293	18.5625	18.25
938.99	18.8003812	18.368989777565	18.5625	18.25
942.11	18.8002224	18.374025667604293	18.5625	18.25
945.18	18.8008557	18.368989777565	18.5625	18.25
948.26	18.8010269	18.358917998359537	18.5625	18.25
951.4	18.801132	18.363953887816752	18.5625	18.25
954.51	18.8022657	18.353882109193364	18.5625	18.25
957.65	18.8021329	18.353882109193364	18.5625	18.25
960.75	18.8027668	18.358917998359537	18.5625	18.25
963.85	18.8031776	18.353882109193364	18.5625	18.25
966.98	18.8030183	18.34381033173413	18.5625	18.25
970.09	18.8034686	18.34381033173413	18.5625	18.25
973.17	18.8036468	18.333738555439048	18.5625	18.25
976.27	18.8042258	18.333738555439048	18.5625	18.25
979.39	18.8042512	18.328702667728066	18.5625	18.25
982.51	18.8043173	18.333738555439048	18.5625	18.25
985.61	18.80477	18.323666780308123	18.5625	18.25
988.75	18.804989	18.323666780308123	18.5625	18.25
991.87	18.8056795	18.323666780308123	18.5625	18.25
994.96	18.8054417	18.313595006341348	18.5625	18.25
998.12	18.8057149	18.313595006341348	18.5625	18.25
1001.23	18.8056476	18.303523233538726	18.5625	18.25
1004.39	18.8067838	18.303523233538726	18.5625	18.25
1007.55	18.8066203	18.303523233538726	18.5625	18.25
1010.67	18.8064055	18.303523233538726	18.5625	18.25
1013.73	18.8071881	18.298487347573975	18.5625	18.25
1016.81	18.8074372	18.308559119794516	18.5625	18.25
1019.94	18.8079323	18.303523233538726	18.5625	18.25
1023.05	18.8076455	18.303523233538726	18.5625	18.25
1026.19	18.8077978	18.293451461900258	18.5625	18.25
1029.27	18.8080043	18.293451461900258	18.5625	18.25
1032.43	18.8088714	18.293451461900258	18.5625	18.25
1035.61	18.8087303	18.273307922115784	18.5625	18.25
1038.74	18.8093801	18.293451461900258	18.5625	18.25
1041.87	18.8097142	18.278343806625344	18.5625	18.25
1044.99	18.8097826	18.26827203789726	18.5625	18.25
1048.11	18.8096062	18.273307922115784	18.5625	18.25
1051.22	18.8099591	18.273307922115784	18.5625	18.25
1054.34	18.810148	18.273307922115784	18.5625	18.25
1057.48	18.8108314	18.263236153969775	18.5625	18.25
1060.59	18.8105582	18.263236153969775	18.5625	18.25
1063.68	18.8112712	18.263236153969775	18.5625	18.25
1066.79	18.8112039	18.26827203789726	18.5625	18.25
1069.89	18.8116625	18.258200270333326	18.5625	18.25
1072.99	18.8118643	18.273307922115784	18.5625	18.25
1076.18	18.8120591	18.273307922115784	18.5625	18.25
1079.3	18.812114	18.26827203789726	18.5625	18.25
1082.43	18.8126953	18.263236153969775	18.5625	18.25
1085.61	18.8117469	18.258200270333326	18.5625	18.25
1088.73	18.812052	18.263236153969775	18.5625	18.25
1091.87	18.8126033	18.258200270333326	18.5625	18.25
1095.0	18.8132796	18.25316438698792	18.5625	18.25
1098.12	18.8131952	18.263236153969775	18.5625	18.25
1101.29	18.8138167	18.258200270333326	18.5625	18.25
1104.43	18.8132478	18.26827203789726	18.5625	18.25
1107.53	18.8137855	18.25316438698792	18.5625	18.25
1110.62	18.8136503	18.258200270333326	18.5625	18.25
1113.71	18.8139566	18.25316438698792	18.5625	18.25
1116.9	18.8141762	18.243092621170216	18.5625	18.25
1120.01	18.8138651	18.243092621170216	18.5625	18.25
1123.13	18.8147935	18.243092621170216	18.5625	18.25
1126.27	18.8149417	18.24812850393355	18.5625	18.25
1129.38	18.8152084	18.243092621170216	18.5625	18.25
1132.51	18.8152456	18.233020856516667	18.5625	18.25
1135.61	18.8148903	18.243092621170216	18.5625	18.25
1138.75	18.8149387	18.233020856516667	18.5625	18.25
1141.87	18.8153424	18.233020856516667	18.5625	18.25
1144.98	18.8156788	18.238056738697924	18.5625	18.25
1148.11	18.8156487	18.238056738697924	18.5625	18.25
1151.24	18.8158742	18.233020856516667	18.5625	18.25
1154.35	18.8163027	18.22798497462645	18.5625	18.25
1157.46	18.816259	18.233020856516667	18.5625	18.25
1160.59	18.8167719	18.222949093027275	18.5625	18.25
1163.71	18.8162537	18.222949093027275	18.5625	18.25
1166.78	18.8167094	18.222949093027275	18.5625	18.25
1169.87	18.8165217	18.222949093027275	18.5625	18.25
1172.97	18.8167277	18.222949093027275	18.5625	18.3125
1176.12	18.8165884	18.222949093027275	18.5625	18.25
1179.21	18.8169956	18.217913211719132	18.5625	18.25
1182.3	18.8174442	18.222949093027275	18.5625	18.25
