Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: DS18B20 @GPIO [°C]	Sensor 6: OPUS20 @LAN [°C]
273.49	27.9282064	24.68528177747503	26.875	26.9375	26.75	23.977636337280273
277.92	27.8248195	24.680151135200866	26.6875	26.875	26.625	23.977636337280273
282.32	27.7385968	24.716065637231804	26.5625	26.75	26.5625	23.977636337280273
286.73	27.6611618	24.757110799872315	26.5625	26.75	26.5	23.977636337280273
291.13	27.5800991	24.757110799872315	26.5	26.6875	26.4375	23.977636337280273
295.54	27.4858043	24.74684950746596	26.4375	26.625	26.375	24.015483856201172
299.9	27.3835162	24.705804349482058	26.375	26.5625	26.3125	24.015483856201172
304.35	27.3098526	24.710934993211414	26.3125	26.5	26.25	24.015483856201172
308.72	27.2331983	24.726326926145703	26.25	26.4375	26.1875	24.015483856201172
313.12	27.1577498	24.726326926145703	26.1875	26.375	26.125	24.015483856201172
317.49	27.0868652	24.762241446512053	26.1875	26.3125	26.0625	24.015483856201172
321.93	27.0014072	24.736588216223755	26.0625	26.25	26.0	24.015483856201172
326.31	26.9280098	24.75198015352362	26.0	26.1875	25.9375	24.015483856201172
330.74	26.8501795	24.736588216223755	26.0	26.125	25.875	24.015483856201172
335.09	26.773767	24.75198015352362	25.8125	26.125	25.8125	24.015483856201172
339.55	26.7008406	24.762241446512053	25.8125	26.0	25.75	24.015483856201172
343.94	26.6302719	24.736588216223755	25.75	25.9375	25.6875	24.015483856201172
348.35	26.5644811	24.700673706043744	25.6875	25.9375	25.625	24.015483856201172
352.66	26.4974735	24.69554306289647	25.625	25.875	25.5625	24.015483856201172
357.01	26.4298221	24.716065637231804	25.625	25.8125	25.5625	24.023208618164062
361.35	26.3749007	24.680151135200866	25.5625	25.75	25.5	24.023208618164062
365.78	26.3130871	24.68528177747503	25.5	25.6875	25.4375	24.023208618164062
370.17	26.2522178	24.66988985152566	25.4375	25.6875	25.375	24.023208618164062
374.58	26.1991935	24.65449792819563	25.375	25.625	25.3125	24.023208618164062
378.96	26.1402153	24.64423664743081	25.3125	25.625	25.3125	24.023208618164062
383.43	26.0865537	24.64423664743081	25.3125	25.5	25.25	24.023208618164062
387.83	26.0335018	24.65449792819563	25.25	25.5	25.1875	24.023208618164062
392.24	25.9762958	24.587799624033504	25.1875	25.4375	25.125	24.023208618164062
396.63	25.8924292	24.526232002308824	25.125	25.375	25.0625	24.023208618164062
401.03	25.803497	24.480056313518435	25.0625	25.375	25.0625	24.023208618164062
405.41	25.7452552	24.480056313518435	25.0625	25.3125	25.0	24.023208618164062
409.78	25.7046006	24.500578838959335	25.0	25.25	25.0	24.023208618164062
414.2	25.6490648	24.469795052544214	24.9375	25.1875	24.9375	24.023208618164062
418.58	25.5929432	24.45440316326567	24.9375	25.1875	24.875	24.0158748626709
422.95	25.559182	24.474925682885804	24.875	25.125	24.875	24.0158748626709
427.38	25.5112248	24.459533792734145	24.875	25.125	24.8125	24.0158748626709
431.76	25.4762579	24.505709471047158	24.8125	25.0625	24.75	24.0158748626709
436.16	25.4386852	24.53136263585184	24.8125	25.0625	24.75	24.0158748626709
440.58	25.4010189	24.546754538227106	24.6875	25.0	24.75	24.0158748626709
444.96	25.3672387	24.562146443221717	24.6875	25.0	24.6875	24.0158748626709
449.34	25.3421415	24.59293026106898	24.6875	24.9375	24.6875	24.0158748626709
453.75	25.3172432	24.61345281212125	24.6875	24.9375	24.625	24.0158748626709
458.15	25.2879943	24.582668987289072	24.625	24.9375	24.625	24.0158748626709
462.54	25.2468005	24.510840103426016	24.625	24.875	24.5625	24.0158748626709
466.92	25.1896245	24.38257438126602	24.625	24.875	24.5625	24.0158748626709
471.26	25.1277522	24.32613752114121	24.5625	24.8125	24.5	24.0158748626709
475.66	25.0503403	24.084998606384033	24.5	24.75	24.5	24.02726936340332
480.09	24.9394764	24.013170117750995	24.4375	24.75	24.4375	24.02726936340332
484.47	24.8681722	24.013170117750995	24.375	24.6875	24.375	24.02726936340332
488.89	24.8279218	24.043953748751665	24.375	24.625	24.375	24.02726936340332
493.3	24.8014436	24.07473739022971	24.3125	24.625	24.3125	24.02726936340332
497.73	24.7646839	24.049084354937076	24.3125	24.625	24.3125	24.02726936340332
502.07	24.6891187	23.94134168616147	24.25	24.5625	24.25	24.02726936340332
506.48	24.5762542	23.72072614580393	24.25	24.5625	24.25	24.02726936340332
510.96	24.4992755	23.761770856752992	24.1875	24.5	24.1875	24.02726936340332
515.38	24.4794113	23.85925211990834	24.1875	24.5	24.1875	24.02726936340332
519.77	24.4705211	23.915688688703813	24.125	24.4375	24.1875	24.02726936340332
524.14	24.439349	23.920819287613266	24.125	24.4375	24.125	24.02726936340332
528.65	24.4286055	23.98751709992066	24.0625	24.375	24.125	24.02726936340332
533.04	24.4285182	24.033692537253955	24.0625	24.375	24.125	24.02726936340332
537.46	24.4279147	24.049084354937076	24.0625	24.375	24.0625	24.019933700561523
541.84	24.4196321	24.07473739022971	24.0625	24.375	24.0625	24.019933700561523
546.23	24.3988928	23.96699469089508	24.0625	24.375	24.0625	24.019933700561523
550.65	24.3326171	23.864382715616376	24.0625	24.3125	24.0625	24.019933700561523
555.02	24.2801179	23.828468551771948	24.0	24.25	24.0	24.019933700561523
559.43	24.2570338	23.864382715616376	23.9375	24.25	24.0	24.019933700561523
563.85	24.257097	23.96186408936628	23.9375	24.25	24.0	24.019933700561523
568.2	24.2610089	24.00290890974575	23.875	24.25	23.9375	24.019933700561523
572.67	24.270579	24.059345568181016	23.9375	24.25	23.9375	24.019933700561523
577.03	24.2735997	24.084998606384033	23.9375	24.25	23.9375	24.019933700561523
581.43	24.2765143	24.13630470461794	23.875	24.25	23.9375	24.019933700561523
585.85	24.2825025	24.19787206091569	23.875	24.1875	23.9375	24.019933700561523
590.22	24.2888291	24.223525138408878	23.9375	24.1875	23.9375	24.019933700561523
594.63	24.2898773	24.22865575478063	23.875	24.1875	23.9375	24.016265869140625
599.03	24.3007874	24.25943945912295	23.875	24.1875	23.9375	24.016265869140625
603.43	24.2955156	24.223525138408878	23.875	24.1875	23.9375	24.016265869140625
607.84	24.2606947	24.15169653976336	23.8125	24.1875	23.875	24.016265869140625
612.23	24.2707566	24.182480217912236	23.875	24.1875	23.875	24.016265869140625
616.63	24.2817991	24.100390432798303	23.875	24.125	23.875	24.016265869140625
621.05	24.2477625	24.079867998161355	23.875	24.125	23.875	24.016265869140625
625.51	24.2326067	24.10552104218514	23.8125	24.125	23.875	24.016265869140625
629.92	24.2421643	24.141435316042042	23.75	24.125	23.875	24.016265869140625
634.32	24.2540783	24.18761083195568	23.8125	24.125	23.875	24.016265869140625
638.73	24.2603776	24.254308841004967	23.8125	24.125	23.875	24.016265869140625
643.1	24.2655944	24.254308841004967	23.8125	24.125	23.8125	24.016265869140625
647.54	24.2695607	24.26457007753197	23.8125	24.125	23.875	24.016265869140625
651.92	24.2736003	24.2953537940979	23.75	24.125	23.875	24.016265869140625
656.31	24.282357	24.346660011657512	23.75	24.125	23.875	24.02765464782715
660.8	24.2939263	24.39283563234494	23.875	24.125	23.875	24.02765464782715
665.21	24.3004793	24.433880648302146	23.8125	24.125	23.875	24.02765464782715
669.65	24.311187	24.428750020288863	23.8125	24.125	23.875	24.02765464782715
674.03	24.3146173	24.433880648302146	23.8125	24.125	23.875	24.02765464782715
678.41	24.320939	24.44927253408823	23.8125	24.125	23.875	24.02765464782715
682.81	24.3262096	24.45440316326567	23.75	24.125	23.875	24.02765464782715
687.2	24.3285693	24.444141905201832	23.8125	24.125	23.875	24.02765464782715
691.56	24.3297097	24.459533792734145	23.8125	24.125	23.875	24.02765464782715
695.91	24.3315432	24.44927253408823	23.8125	24.125	23.875	24.02765464782715
700.31	24.3343538	24.480056313518435	23.8125	24.125	23.875	24.02765464782715
704.73	24.3336091	24.510840103426016	23.75	24.125	23.875	24.02765464782715
709.06	24.3393972	24.469795052544214	23.8125	24.125	23.875	24.02765464782715
713.45	24.3265221	24.37744375616312	23.75	24.125	23.875	24.02765464782715
717.9	24.2930359	24.315876277629286	23.8125	24.125	23.875	24.02398681640625
722.33	24.2935488	24.331268143333727	23.75	24.125	23.875	24.02398681640625
726.72	24.2902208	24.321006899239727	23.75	24.125	23.875	24.02398681640625
731.14	24.2869271	24.32613752114121	23.75	24.0625	23.875	24.02398681640625
735.59	24.2842372	24.356921258661895	23.75	24.0625	23.8125	24.02398681640625
740.01	24.2854542	24.387705006659964	23.75	24.0625	23.8125	24.02398681640625
744.47	24.2887067	24.397966258320956	23.75	24.0625	23.8125	24.02398681640625
748.9	24.2964883	24.44927253408823	23.75	24.0625	23.8125	24.02398681640625
753.3	24.3037736	24.459533792734145	23.75	24.0625	23.8125	24.02398681640625
757.68	24.3228467	24.464664422493662	23.6875	24.0625	23.8125	24.02398681640625
762.05	24.3376897	24.480056313518435	23.75	24.0625	23.8125	24.02398681640625
766.41	24.3378492	24.428750020288863	23.75	24.0625	23.8125	24.02398681640625
770.78	24.3323613	24.41335813799524	23.75	24.0625	23.8125	24.02398681640625
775.18	24.3416284	24.444141905201832	23.75	24.0625	23.8125	24.02031898498535
779.6	24.3497871	24.464664422493662	23.6875	24.0625	23.8125	24.02031898498535
784.0	24.350895	24.480056313518435	23.75	24.0625	23.8125	24.02031898498535
788.43	24.3517281	24.485186944442102	23.6875	24.0625	23.8125	24.02031898498535
792.81	24.3348444	24.36718250683043	23.6875	24.0625	23.8125	24.02031898498535
797.2	24.318646	24.34152938859188	23.75	24.0625	23.8125	24.02031898498535
801.62	24.3035037	24.27483131522313	23.75	24.0	23.8125	24.02031898498535
806.03	24.2846114	24.254308841004967	23.6875	24.0625	23.8125	24.02031898498535
810.41	24.2834639	24.249178223178024	23.6875	24.0	23.8125	24.02031898498535
814.79	24.294677	24.315876277629286	23.6875	24.0	23.8125	24.02031898498535
819.2	24.3026689	24.315876277629286	23.75	24.0	23.8125	24.02031898498535
823.61	24.2987468	24.26457007753197	23.75	24.0	23.8125	24.02031898498535
828.01	24.2902161	24.28509255407844	23.75	24.0	23.8125	24.02031898498535
832.38	24.3008408	24.331268143333727	23.6875	24.0	23.75	24.02031898498535
836.8	24.3123808	24.336398765817286	23.6875	24.0	23.8125	24.028047561645508
841.2	24.3131914	24.32613752114121	23.6875	24.0	23.8125	24.028047561645508
845.6	24.3235853	24.356921258661895	23.6875	24.0	23.8125	24.028047561645508
850.0	24.3311989	24.403096884588013	23.6875	24.0	23.8125	24.028047561645508
854.45	24.3331556	24.418488765135407	23.6875	24.0	23.75	24.028047561645508
