Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
125.16	23.012707813852465	23.25	23.375	23.1875	22.903432846069336
128.88	23.007577266456792	23.25	23.375	23.1875	22.903432846069336
132.68	23.002446719352157	23.3125	23.375	23.1875	22.903432846069336
136.4	23.002446719352157	23.3125	23.375	23.1875	22.903432846069336
140.17	22.992185626016	23.3125	23.375	23.1875	22.903432846069336
143.92	22.987055079784476	23.25	23.3125	23.1875	22.903432846069336
147.69	22.987055079784476	23.25	23.3125	23.1875	22.903432846069336
151.46	23.012707813852465	23.3125	23.375	23.1875	22.903432846069336
155.21	23.02809945778572	23.25	25.5	23.1875	22.903432846069336
159.04	23.02296890951693	23.25	27.125	23.1875	22.903432846069336
162.87	23.033230006345548	23.25	28.1875	23.1875	22.903432846069336
166.76	23.012707813852465	23.25	28.9375	23.1875	22.903432846069336
170.49	23.002446719352157	23.3125	29.4375	23.1875	22.903432846069336
174.25	23.007577266456792	23.3125	29.875	23.1875	22.903432846069336
178.05	22.997316172538557	23.3125	30.1875	23.1875	22.89977264404297
181.81	22.981924533843994	23.25	30.5	23.1875	22.89977264404297
185.54	22.992185626016	23.3125	30.6875	23.1875	22.89977264404297
189.3	22.997316172538557	23.3125	30.875	23.1875	22.89977264404297
193.08	22.997316172538557	23.25	31.0625	23.1875	22.89977264404297
196.84	23.02296890951693	23.25	31.1875	23.1875	22.89977264404297
200.59	23.02809945778572	23.3125	31.3125	23.1875	22.89977264404297
204.36	23.012707813852465	23.25	31.4375	23.1875	22.89977264404297
208.11	23.012707813852465	23.3125	31.5625	23.1875	22.89977264404297
211.88	23.02296890951693	23.25	31.625	23.25	22.89977264404297
215.65	23.02296890951693	23.25	31.6875	23.25	22.89977264404297
219.4	23.012707813852465	23.3125	31.6875	23.3125	22.89977264404297
223.11	23.01783836153918	23.3125	31.625	23.3125	22.89977264404297
226.88	23.02296890951693	23.3125	31.5	23.3125	22.89977264404297
230.64	23.02296890951693	23.1875	31.375	23.25	22.89977264404297
234.39	23.02296890951693	23.3125	31.1875	23.3125	22.89977264404297
238.1	23.01783836153918	23.25	31.125	23.3125	22.911191940307617
241.82	23.02296890951693	23.3125	31.0	23.3125	22.911191940307617
245.5	23.033230006345548	23.3125	30.875	23.3125	22.911191940307617
249.18	23.02296890951693	23.3125	30.75	23.3125	22.911191940307617
252.87	23.033230006345548	23.3125	30.6875	23.3125	22.911191940307617
256.64	23.02809945778572	23.3125	30.5625	23.3125	22.911191940307617
260.38	23.02296890951693	23.3125	30.4375	23.3125	22.911191940307617
264.07	23.02809945778572	23.3125	30.3125	23.3125	22.911191940307617
267.82	23.033230006345548	23.3125	30.1875	23.3125	22.911191940307617
271.51	23.033230006345548	23.3125	30.0625	23.3125	22.911191940307617
275.18	23.02296890951693	23.3125	29.9375	23.3125	22.911191940307617
278.85	23.02296890951693	23.25	29.8125	23.3125	22.911191940307617
282.56	23.01783836153918	23.3125	29.75	23.3125	22.911191940307617
286.29	23.012707813852465	23.3125	29.625	23.3125	22.911191940307617
290.0	23.012707813852465	23.3125	29.5	23.3125	22.911191940307617
293.75	23.002446719352157	23.25	29.375	23.3125	22.911191940307617
297.51	23.002446719352157	23.3125	29.25	23.3125	22.92627716064453
301.25	23.007577266456792	23.3125	29.125	23.3125	22.92627716064453
304.95	23.002446719352157	23.3125	29.0	23.375	22.92627716064453
308.62	23.002446719352157	23.3125	28.875	23.3125	22.92627716064453
312.3	23.002446719352157	23.3125	28.75	23.3125	22.92627716064453
316.0	23.012707813852465	23.375	28.625	23.3125	22.92627716064453
319.75	23.012707813852465	23.3125	28.5	23.3125	22.92627716064453
323.43	23.01783836153918	23.3125	28.375	23.3125	22.92627716064453
327.12	23.007577266456792	23.3125	28.25	23.3125	22.92627716064453
330.88	23.012707813852465	23.3125	28.1875	23.3125	22.92627716064453
334.63	23.01783836153918	23.3125	28.0625	23.3125	22.92627716064453
338.41	23.033230006345548	23.3125	27.9375	23.3125	22.92627716064453
342.14	23.012707813852465	23.25	27.8125	23.3125	22.92627716064453
