Time [s]	Voltage set [V]	Voltage measured [V]
73.08	25.0	25.0005
73.21	25.0	25.0005
73.34	25.0	25.0005
73.51	24.5	25.0005
73.64	24.5	24.688
73.77	24.5	24.688
73.9	24.5	24.688
74.04	24.5	24.688
74.17	24.5	24.688
74.3	24.5	24.4996
74.48	24.0	24.4996
74.61	24.0	24.4996
74.76	24.0	24.0
74.88	24.0	24.0
74.98	24.0	24.0
75.11	24.0	24.0
75.23	24.0	24.0
75.36	24.0	24.0
75.53	23.5	24.0002
75.67	23.5	24.0002
75.8	23.5	24.0002
75.93	23.5	24.0002
76.05	23.5	24.0002
76.18	23.5	23.5013
76.33	23.5	23.5013
76.46	23.5	23.5013
76.59	23.0	23.5013
76.71	23.0	23.5013
76.84	23.0	23.5013
76.99	23.0	23.5013
77.12	23.0	23.5013
77.25	23.0	23.0013
77.37	23.0	23.0013
77.5	23.0	23.0013
77.64	22.5	23.0013
77.77	22.5	22.5172
77.89	22.5	22.5172
78.02	22.5	22.5172
78.14	22.5	22.5172
78.27	22.5	22.5172
78.4	22.5	22.5008
78.53	22.5	22.5008
78.7	22.0	22.5008
78.83	22.0	22.5008
78.94	22.0	22.5008
79.06	22.0	22.0006
79.18	22.0	22.0006
79.31	22.0	22.0006
79.44	22.0	22.0006
79.57	22.0	22.0006
79.7	21.5	22.0003
79.83	21.5	22.0003
79.96	21.5	22.0003
80.1	21.5	21.4999
80.23	21.5	21.4999
80.36	21.5	21.4999
80.49	21.5	21.4999
80.61	21.5	21.4999
80.77	21.0	21.4999
80.9	21.0	21.4996
81.02	21.0	21.4996
81.15	21.0	21.4996
81.29	21.0	20.9999
81.43	21.0	20.9999
81.56	21.0	20.9999
81.76	20.5	20.9999
81.89	20.5	20.9999
82.02	20.5	20.5009
82.15	20.5	20.5009
82.28	20.5	20.5009
82.4	20.5	20.5009
82.53	20.5	20.4998
82.65	20.5	20.4998
82.78	20.0	20.4998
82.9	20.0	20.4998
83.03	20.0	20.4998
83.18	20.0	20.0014
83.31	20.0	20.0014
83.45	20.0	20.0014
83.58	20.0	20.0014
83.81	19.5	20.0012
83.95	19.5	20.0012
84.1	19.5	20.0012
84.23	19.5	20.0012
84.35	19.5	19.4994
84.47	19.5	19.4994
84.6	19.5	19.4994
84.78	19.0	19.4994
84.9	19.0	19.0717
85.03	19.0	19.0717
85.16	19.0	19.0717
85.28	19.0	19.0717
85.4	19.0	19.0717
85.53	19.0	19.0024
85.68	19.0	19.0024
85.87	18.5	19.0024
86.0	18.5	19.0024
86.13	18.5	18.5022
86.26	18.5	18.5022
86.39	18.5	18.5022
86.52	18.5	18.5022
86.62	18.5	18.5022
86.75	18.5	18.5016
86.86	18.5	18.5016
86.97	18.0	18.5016
87.12	18.0	18.5016
87.25	18.0	18.5016
87.39	18.0	18.0038
87.51	18.0	18.0038
87.64	18.0	18.0038
87.76	18.0	18.0038
87.89	18.0	18.0033
88.02	17.5	18.0033
88.14	17.5	18.0033
88.27	17.5	18.0033
88.4	17.5	18.0033
88.53	17.5	17.502
88.64	17.5	17.502
88.77	17.5	17.502
88.9	17.5	17.502
89.07	17.0	17.502
89.2	17.0	17.5018
89.32	17.0	17.5018
89.45	17.0	17.5018
89.58	17.0	17.5018
89.73	17.0	17.5018
89.86	17.0	17.0016
89.97	17.0	17.0016
90.09	16.5	17.0016
90.23	16.5	17.0016
90.36	16.5	16.5034
90.48	16.5	16.5034
90.62	16.5	16.5034
90.75	16.5	16.5034
90.88	16.5	16.5034
91.0	16.5	16.5012
91.13	16.0	16.5012
91.26	16.0	16.5012
91.39	16.0	16.0004
91.52	16.0	16.0004
91.65	16.0	16.0004
91.77	16.0	16.0004
91.9	16.0	16.0004
92.03	16.0	16.0002
92.22	15.5	16.0002
92.35	15.5	16.0002
92.45	15.5	16.0002
92.58	15.5	16.0002
92.71	15.5	15.4994
92.81	15.5	15.4994
92.94	15.5	15.4994
93.07	15.5	15.4994
93.2	15.0	15.4994
93.33	15.0	15.4992
93.47	15.0	15.4992
93.6	15.0	15.4992
93.73	15.0	15.4992
93.88	15.0	15.0005
94.01	15.0	15.0005
94.19	14.5	15.0005
94.33	14.5	15.0005
94.45	14.5	14.5021
94.58	14.5	14.5021
94.71	14.5	14.5021
94.84	14.5	14.5021
94.97	14.5	14.5021
95.1	14.5	14.5013
95.24	14.0	14.5013
95.37	14.0	14.5013
95.51	14.0	14.5013
95.63	14.0	14.5013
95.76	14.0	14.0025
95.89	14.0	14.0025
96.02	14.0	14.0025
96.21	13.5	14.0025
96.35	13.5	14.0023
96.48	13.5	14.0023
96.61	13.5	14.0023
96.74	13.5	14.0023
96.87	13.5	13.5017
97.0	13.5	13.5017
97.12	13.5	13.5017
97.25	13.0	13.5017
97.37	13.0	13.0873
97.5	13.0	13.0873
97.63	13.0	13.0873
97.76	13.0	13.0873
97.89	13.0	13.0873
98.02	13.0	13.0013
98.15	13.0	13.0013
98.28	12.5	13.0013
98.41	12.5	13.0013
98.54	12.5	12.5054
98.69	12.5	12.5054
98.82	12.5	12.5054
98.95	12.5	12.5054
99.08	12.5	12.5054
99.3	12.0	12.5049
99.43	12.0	12.5049
99.55	12.0	12.5049
99.68	12.0	12.5049
99.81	12.0	12.002
99.96	12.0	12.002
100.09	12.0	12.002
100.27	11.5	12.002
100.41	11.5	11.9751
100.52	11.5	11.9751
100.65	11.5	11.9751
100.77	11.5	11.9751
100.9	11.5	11.9751
101.03	11.5	11.5018
101.16	11.5	11.5018
101.4	11.0	11.5018
101.52	11.0	11.0508
101.66	11.0	11.0508
101.79	11.0	11.0508
101.91	11.0	11.0508
102.04	11.0	11.0508
102.17	11.0	11.0008
102.4	10.5	11.0008
102.53	10.5	11.0008
102.64	10.5	11.0008
102.77	10.5	10.5023
102.89	10.5	10.5023
103.02	10.5	10.5023
103.15	10.5	10.5023
103.29	10.5	10.5023
103.42	10.0	10.5016
103.55	10.0	10.5016
103.67	10.0	10.5016
103.81	10.0	10.5016
103.94	10.0	10.5016
104.07	10.0	10.0027
104.18	10.0	10.0027
104.31	10.0	10.0027
104.44	9.5	10.0027
104.56	9.5	10.0018
104.7	9.5	10.0018
104.83	9.5	10.0018
104.96	9.5	10.0018
105.09	9.5	9.5035
105.22	9.5	9.5035
105.35	9.5	9.5035
105.51	9.0	9.5035
105.64	9.0	9.5035
105.77	9.0	9.0041
105.9	9.0	9.0041
106.03	9.0	9.0041
106.15	9.0	9.0041
106.28	9.0	9.0022
106.46	8.5	9.0022
106.59	8.5	9.0022
106.71	8.5	9.0022
106.81	8.5	9.0022
106.94	8.5	8.5017
107.05	8.5	8.5017
107.18	8.5	8.5017
107.31	8.5	8.5017
107.44	8.5	8.5017
107.57	8.0	8.5015
107.7	8.0	8.5015
